,,Nine,KEBABE,Simonster,MR. X,Duckling,Ling,fourierBB,SP2,ii,Inada,lewis,老罗,pigcanfly,Kfc,joker,Ice,Almanackan,Nazlac,Puppet,cat,老凤,Averge change
Q1,Entry,3,4,3,4,1,5,2,2,1,3,4,2,3,5,3,2,2,3,2,2,2,
,Exit,4,3,3,3,2,2,3,2,2,2,2,3,3,4,2,3,NA,NA,NA,NA,NA,
,Difference,1,-1,0,-1,1,-3,1,0,1,-1,-2,1,0,-1,-1,1,NA,NA,NA,NA,NA,-0.25
Q2,Entry,4,3,2,2,2,2,2,2,3,2,3,3,2,4,4,4,4,2,3,3,4,
,Exit,4,3,3,2,4,5,3,4,5,4,4,4,3,3,2,4,NA,NA,NA,NA,NA,
,Difference,0,0,1,0,2,3,1,2,2,2,1,1,1,-1,-2,0,NA,NA,NA,NA,NA,0.8125
Q3,Entry,5,3,4,4,6,5,4,3,5,4,3,5,5,5,2,5,2,4,4,5,4,
,Exit,4,6,3,3,1,1,1,2,2,1,1,4,3,5,6,5,NA,NA,NA,NA,NA,
,Difference,-1,3,-1,-1,-5,-4,-3,-1,-3,-3,-2,-1,-2,0,4,0,NA,NA,NA,NA,NA,-1.25
Q4,Entry,5,3,4,3,5,3,4,4,4,5,4,4,4,6,5,4,4,3,3,4,3,
,Exit,5,5,4,5,6,6,4,6,5,5,5,3,3,3,3,4,NA,NA,NA,NA,NA,
,Difference,0,2,0,2,1,3,0,2,1,0,1,-1,-1,-3,-2,0,NA,NA,NA,NA,NA,0.3125
Q5,Entry,3,5,5,5,5,5,5,6,5,4,4,4,5,5,4,5,4,3,5,5,1,
,Exit,2,4,4,4,1,2,2,2,1,2,2,3,4,4,5,4,NA,NA,NA,NA,NA,
,Difference,-1,-1,-1,-1,-4,-3,-3,-4,-4,-2,-2,-1,-1,-1,1,-1,NA,NA,NA,NA,NA,-1.8125
Q6,Entry,6,6,3,5,5,5,5,5,4,5,5,6,5,6,5,3,2,4,2,5,2,
,Exit,4,6,3,4,2,3,2,1,1,4,2,4,5,5,5,5,NA,NA,NA,NA,NA,
,Difference,-2,0,0,-1,-3,-2,-3,-4,-3,-1,-3,-2,0,-1,0,2,NA,NA,NA,NA,NA,-1.4375
Q7,Entry,4,6,4,5,5,5,5,5,6,2,3,4,4,5,4,5,2,3,5,5,4,
,Exit,2,2,3,4,1,2,1,1,1,2,3,3,2,2,2,3,NA,NA,NA,NA,NA,
,Difference,-2,-4,-1,-1,-4,-3,-4,-4,-5,0,0,-1,-2,-3,-2,-2,NA,NA,NA,NA,NA,-2.375
Q8,Entry,5,2,5,4,5,5,5,5,3,5,4,3,6,4,6,5,4,3,5,4,3,
,Exit,2,2,5,2,1,2,2,1,1,1,2,2,3,2,4,3,NA,NA,NA,NA,NA,
,Difference,-3,0,0,-2,-4,-3,-3,-4,-2,-4,-2,-1,-3,-2,-2,-2,NA,NA,NA,NA,NA,-2.3125
Q9,Entry,2,1,1,4,5,5,5,5,6,4,3,2,3,5,4,6,3,5,6,5,4,
,Exit,1,2,2,2,1,1,2,2,1,1,2,3,3,2,4,3,NA,NA,NA,NA,NA,
,Difference,-1,1,1,-2,-4,-4,-3,-3,-5,-3,-1,1,0,-3,0,-3,NA,NA,NA,NA,NA,-1.8125
Q10,Entry,2,5,5,4,4,5,6,6,5,5,5,5,3,1,5,6,4,3,5,5,5,
,Exit,2,5,4,3,1,1,2,2,2,2,6,2,3,2,6,4,NA,NA,NA,NA,NA,
,Difference,0,0,-1,-1,-3,-4,-4,-4,-3,-3,1,-3,0,1,1,-2,NA,NA,NA,NA,NA,-1.5625
Q11,Entry,7,8,3,7,7,4,6,6,2,5,7,3,7,6,3,2,6,5,8,4,6,
,Exit,8,8,7,3,7,9,9,8,9,9,8,6,6,6,3,6,NA,NA,NA,NA,NA,
,Difference,1,0,4,-4,0,5,3,2,7,4,1,3,-1,0,0,4,Na,NA,NA,NA,NA,1.8125
Q12,Entry,5,3,6,6,2,3,5,1,4,5,3,4,2,2,5,5,6,3,6,2,2,
,Exit,4,5,6,4,6,6,6,6,5,6,5,4,3,4,5,2,NA,NA,NA,NA,NA,
,Difference,-1,2,0,-2,4,3,1,5,1,1,2,0,1,2,0,-3,NA,NA,NA,NA,NA,1
Q13,Entry,5,4,2,5,2,3,2,2,4,3,2,5,4,3,6,4,6,3,5,3,4,
,Exit,5,4,2,3,5,5,6,5,5,5,4,5,4,4,5,4,NA,NA,NA,NA,NA,
,Difference,0,0,0,-2,3,2,4,3,1,2,2,0,0,1,-1,0,NA,NA,NA,NA,NA,0.9375
Q14,Entry,5,1,6,2,5,5,5,6,3,3,3,4,2,3,4,3,6,1,2,2,2,
,Exit,4,3,2,2,1,3,2,1,2,1,2,3,5,5,6,5,NA,NA,NA,NA,NA,
,Difference,-1,2,-4,0,-4,-2,-3,-5,-1,-2,-1,-1,3,2,2,2,NA,NA,NA,NA,NA,-0.8125
Q15,Entry,2,5,5,5,6,5,5,6,4,4,2,3,4,2,6,4,1,4,2,3,3,
,Exit,4,4,4,5,2,1,1,1,1,2,3,2,2,3,2,3,NA,NA,NA,NA,NA,
,Difference,2,-1,-1,0,-4,-4,-4,-5,-3,-2,1,-1,-2,1,-4,-1,NA,NA,NA,NA,NA,-1.75
Q16,Entry,5,4,6,2,1,2,3,5,4,3,4,2,3,1,5,2,4,3,3,4,5,
,Exit,4,6,5,2,5,6,6,6,6,5,6,3,4,4,5,4,NA,NA,NA,NA,NA,
,Difference,-1,2,-1,0,4,4,3,1,2,2,2,1,1,3,0,2,NA,NA,NA,NA,NA,1.5625
*Difference = Exit - Entry,,,,,,,,,,,,,,,,,,,,,,,
*The order of question pairing is based on the entry survey,,,,,,,,,,,,,,,,,,,,,,,
,,,4,4,,,,,,,,,,,,,,,,,,,
,,,3,3,,,,,,,,,,,,,,,,,,,
